flows,products,is_subtotal
01 Production,01 Coal,True
01 Production,01.01 Coking coal,False
01 Production,01.02 Other bituminous coal,False
01 Production,01.03 Sub-bituminous coal,False
01 Production,01.04 Anthracite,False
01 Production,01.05 Lignite,False
01 Production,01.99 Coal nonspecified,False
01 Production,02 Coal products,True
01 Production,02.01 Coke oven coke,False
01 Production,02.02 Gas coke,False
01 Production,02.03 Coke oven gas,False
01 Production,02.04 Blast furnace gas,False
01 Production,02.05 Other recovered gases,False
01 Production,02.06 Patent fuel,False
01 Production,02.07 Coal tar,False
01 Production,02.08 BKB/PB,False
01 Production,03 Peat,False
01 Production,04 Peat products,False
01 Production,05 Oil shale and oil sands,False
01 Production,06 Crude oil & NGL,True
01 Production,06.01 Crude oil,False
01 Production,06.02 Natural gas liquids,False
01 Production,06.03 Refinery feedstocks,False
01 Production,06.04 Additives/ oxygenates,False
01 Production,06.05 Other hydrocarbons,False
01 Production,07 Petroleum products,True
01 Production,07.01 Motor gasoline,False
01 Production,07.02 Aviation gasoline,False
01 Production,07.03 Naphtha,False
01 Production,07.04 Gasoline type jet fuel,False
01 Production,07.05 Kerosene type jet fuel,False
01 Production,07.06 Kerosene,False
01 Production,07.07 Gas/diesel oil,False
01 Production,07.08 Fuel oil,False
01 Production,07.09 LPG,False
01 Production,07.10 Refinery gas (not liquefied),False
01 Production,07.11 Ethane,False
01 Production,07.12 White spirit SBP,False
01 Production,07.13 Lubricants,False
01 Production,07.14 Bitumen,False
01 Production,07.15 Paraffin  waxes,False
01 Production,07.16 Petroleum coke,False
01 Production,07.17 Other products,False
01 Production,07.99 PetProd nonspecified,False
01 Production,08 Gas,True
01 Production,08.01 Natural gas,False
01 Production,08.02 LNG,False
01 Production,08.03 Gas works gas,False
01 Production,08.99 Gas nonspecified,False
01 Production,09 Nuclear,False
01 Production,10 Hydro,False
01 Production,11 Geothermal,False
01 Production,12 Solar,True
01 Production,12.01 of which: Photovoltaics,False
01 Production,12.99 Solar nonspecified,False
01 Production,"13 Tide, wave, ocean",False
01 Production,14 Wind,False
01 Production,15 Solid biomass,True
01 Production,15.01 Fuelwood & woodwaste,False
01 Production,15.02 Bagasse,False
01 Production,15.03 Charcoal,False
01 Production,15.04 Black liqour,False
01 Production,15.05 Other biomass,False
01 Production,16 Others,True
01 Production,16.01 Biogas,False
01 Production,16.02 Industrial waste,False
01 Production,16.03 Municipal solid waste (renewable),False
01 Production,16.04 Municipal solid waste (non-renewable),False
01 Production,16.05 Biogasoline,False
01 Production,16.06 Biodiesel,False
01 Production,16.07 Bio jet kerosene,False
01 Production,16.08 Other liquid biofuels,False
01 Production,16.09 Other sources,False
01 Production,17 Electricity,False
01 Production,18 Heat,False
01 Production,19 Total,True
01 Production,20 Total Renewables,True
01 Production,21 Modern renewables,True
02 Imports,01 Coal,True
