sheet_name,sector_code_9th,sector_name,final_category_name,notes,active,esto_flow_override,category_type,measure,dashboard_note_override,dashboard_page,dashboard_level
International transport air,05_international_aviation_bunkers,International aviation bunkers,International transport air,,TRUE,,fuel,Final Energy Demand (Petajoules),,Bunkers,
International transport ship,04_international_marine_bunkers,International marine bunkers,International transport ship,,TRUE,,fuel,Final Energy Demand (Petajoules),,Bunkers,
Nonspecified transport,15_06_nonspecified_transport,Non-specified transport,Nonspecified transport,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Passenger road moto,15_02_01_01_two_wheeler,Road passenger,Passenger road moto,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Passenger road bus,15_02_01_05_bus,Road passenger,Passenger road bus,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Passenger road lpv,"15_02_01_02_car, 15_02_01_04_light_truck, 15_02_01_03_sports_utility_vehicle",Road passenger,Passenger road lpv,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Freight road trucks,"15_02_02_03_medium_truck, 15_02_02_04_heavy_truck",Road freight,Freight road trucks,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Freight road lcvs,15_02_02_02_light_commercial_vehicle,Road freight,Freight road lcvs,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Passenger non road air,15_01_01_passenger,Passenger non-road,Passenger non road air,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Passenger non road rail,15_03_01_passenger,Passenger non-road,Passenger non road rail,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Passenger non road ship,15_04_01_passenger,Passenger non-road,Passenger non road ship,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Freight non road ship,15_04_02_freight,Freight non-road,Freight non road ship,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
Freight non road rail,15_03_02_freight,Freight non-road,Freight non road rail,,TRUE,,fuel,Final Energy Demand (Petajoules),,Transport sector,
