sub4sectors,sub3sectors,sub2sectors,sub1sectors,sectors,subfuels,fuels,sector_pair,fuel_pair,zero_final_child_flag
x,x,x,x,01_production,01_01_coking_coal,01_coal,01_production,01_01_coking_coal,
x,x,x,x,01_production,01_05_lignite,01_coal,01_production,01_05_lignite,
x,x,x,x,01_production,x,01_coal,01_production,01_coal,
x,x,x,x,01_production,01_coal_unallocated,01_coal,01_production,01_coal_unallocated,
x,x,x,x,01_production,01_x_thermal_coal,01_coal,01_production,01_x_thermal_coal,
x,x,x,x,01_production,x,02_coal_products,01_production,02_coal_products,
x,x,x,x,01_production,x,03_peat,01_production,03_peat,
x,x,x,x,01_production,x,04_peat_products,01_production,04_peat_products,
x,x,x,x,01_production,x,05_oil_shale_and_oil_sands,01_production,05_oil_shale_and_oil_sands,
x,x,x,x,01_production,06_01_crude_oil,06_crude_oil_and_ngl,01_production,06_01_crude_oil,
x,x,x,x,01_production,06_02_natural_gas_liquids,06_crude_oil_and_ngl,01_production,06_02_natural_gas_liquids,
x,x,x,x,01_production,x,06_crude_oil_and_ngl,01_production,06_crude_oil_and_ngl,
x,x,x,x,01_production,06_crude_oil_and_ngl_unallocated,06_crude_oil_and_ngl,01_production,06_crude_oil_and_ngl_unallocated,
x,x,x,x,01_production,06_x_other_hydrocarbons,06_crude_oil_and_ngl,01_production,06_x_other_hydrocarbons,
x,x,x,x,01_production,07_01_motor_gasoline,07_petroleum_products,01_production,07_01_motor_gasoline,
x,x,x,x,01_production,07_02_aviation_gasoline,07_petroleum_products,01_production,07_02_aviation_gasoline,
x,x,x,x,01_production,07_03_naphtha,07_petroleum_products,01_production,07_03_naphtha,
x,x,x,x,01_production,07_06_kerosene,07_petroleum_products,01_production,07_06_kerosene,
x,x,x,x,01_production,07_07_gas_diesel_oil,07_petroleum_products,01_production,07_07_gas_diesel_oil,
x,x,x,x,01_production,07_08_fuel_oil,07_petroleum_products,01_production,07_08_fuel_oil,
x,x,x,x,01_production,07_09_lpg,07_petroleum_products,01_production,07_09_lpg,
x,x,x,x,01_production,07_10_refinery_gas_not_liquefied,07_petroleum_products,01_production,07_10_refinery_gas_not_liquefied,
x,x,x,x,01_production,07_11_ethane,07_petroleum_products,01_production,07_11_ethane,
x,x,x,x,01_production,x,07_petroleum_products,01_production,07_petroleum_products,
x,x,x,x,01_production,07_petroleum_products_unallocated,07_petroleum_products,01_production,07_petroleum_products_unallocated,
x,x,x,x,01_production,07_x_jet_fuel,07_petroleum_products,01_production,07_x_jet_fuel,
x,x,x,x,01_production,07_x_other_petroleum_products,07_petroleum_products,01_production,07_x_other_petroleum_products,
x,x,x,x,01_production,08_01_natural_gas,08_gas,01_production,08_01_natural_gas,
x,x,x,x,01_production,08_02_lng,08_gas,01_production,08_02_lng,
x,x,x,x,01_production,08_03_gas_works_gas,08_gas,01_production,08_03_gas_works_gas,
x,x,x,x,01_production,x,08_gas,01_production,08_gas,
x,x,x,x,01_production,08_gas_unallocated,08_gas,01_production,08_gas_unallocated,
x,x,x,x,01_production,x,09_nuclear,01_production,09_nuclear,
x,x,x,x,01_production,x,10_hydro,01_production,10_hydro,
x,x,x,x,01_production,x,11_geothermal,01_production,11_geothermal,
x,x,x,x,01_production,12_01_of_which_photovoltaics,12_solar,01_production,12_01_of_which_photovoltaics,
x,x,x,x,01_production,x,12_solar,01_production,12_solar,
x,x,x,x,01_production,12_solar_unallocated,12_solar,01_production,12_solar_unallocated,
x,x,x,x,01_production,12_x_other_solar,12_solar,01_production,12_x_other_solar,
x,x,x,x,01_production,x,13_tide_wave_ocean,01_production,13_tide_wave_ocean,
x,x,x,x,01_production,x,14_wind,01_production,14_wind,
x,x,x,x,01_production,15_01_fuelwood_and_woodwaste,15_solid_biomass,01_production,15_01_fuelwood_and_woodwaste,
x,x,x,x,01_production,15_02_bagasse,15_solid_biomass,01_production,15_02_bagasse,
x,x,x,x,01_production,15_03_charcoal,15_solid_biomass,01_production,15_03_charcoal,
x,x,x,x,01_production,15_04_black_liquor,15_solid_biomass,01_production,15_04_black_liquor,
x,x,x,x,01_production,15_05_other_biomass,15_solid_biomass,01_production,15_05_other_biomass,
x,x,x,x,01_production,x,15_solid_biomass,01_production,15_solid_biomass,
x,x,x,x,01_production,15_solid_biomass_unallocated,15_solid_biomass,01_production,15_solid_biomass_unallocated,
x,x,x,x,01_production,16_01_biogas,16_others,01_production,16_01_biogas,
x,x,x,x,01_production,16_02_industrial_waste,16_others,01_production,16_02_industrial_waste,
x,x,x,x,01_production,16_03_municipal_solid_waste_renewable,16_others,01_production,16_03_municipal_solid_waste_renewable,
x,x,x,x,01_production,16_04_municipal_solid_waste_nonrenewable,16_others,01_production,16_04_municipal_solid_waste_nonrenewable,
x,x,x,x,01_production,16_05_biogasoline,16_others,01_production,16_05_biogasoline,
x,x,x,x,01_production,16_06_biodiesel,16_others,01_production,16_06_biodiesel,
x,x,x,x,01_production,16_07_bio_jet_kerosene,16_others,01_production,16_07_bio_jet_kerosene,
x,x,x,x,01_production,16_08_other_liquid_biofuels,16_others,01_production,16_08_other_liquid_biofuels,
x,x,x,x,01_production,16_09_other_sources,16_others,01_production,16_09_other_sources,
x,x,x,x,01_production,x,16_others,01_production,16_others,
x,x,x,x,01_production,16_others_unallocated,16_others,01_production,16_others_unallocated,
x,x,x,x,01_production,16_x_ammonia,16_others,01_production,16_x_ammonia,
x,x,x,x,01_production,16_x_efuel,16_others,01_production,16_x_efuel,
x,x,x,x,01_production,16_x_hydrogen,16_others,01_production,16_x_hydrogen,
x,x,x,x,01_production,x,17_electricity,01_production,17_electricity,
x,x,x,x,01_production,x,17_x_green_electricity,01_production,17_x_green_electricity,
x,x,x,x,01_production,x,18_heat,01_production,18_heat,
x,x,x,x,02_imports,01_01_coking_coal,01_coal,02_imports,01_01_coking_coal,
x,x,x,x,02_imports,01_05_lignite,01_coal,02_imports,01_05_lignite,
x,x,x,x,02_imports,x,01_coal,02_imports,01_coal,
x,x,x,x,02_imports,01_coal_unallocated,01_coal,02_imports,01_coal_unallocated,
x,x,x,x,02_imports,01_x_thermal_coal,01_coal,02_imports,01_x_thermal_coal,
x,x,x,x,02_imports,x,02_coal_products,02_imports,02_coal_products,
x,x,x,x,02_imports,x,03_peat,02_imports,03_peat,
x,x,x,x,02_imports,x,04_peat_products,02_imports,04_peat_products,
x,x,x,x,02_imports,x,05_oil_shale_and_oil_sands,02_imports,05_oil_shale_and_oil_sands,
x,x,x,x,02_imports,06_01_crude_oil,06_crude_oil_and_ngl,02_imports,06_01_crude_oil,
x,x,x,x,02_imports,06_02_natural_gas_liquids,06_crude_oil_and_ngl,02_imports,06_02_natural_gas_liquids,
x,x,x,x,02_imports,x,06_crude_oil_and_ngl,02_imports,06_crude_oil_and_ngl,
