repository,format,classification,family_count,file_count,total_bytes
leap_dashboard,csv,retain_human,739,739,612057689
leap_dashboard,csv,retain_external,19,19,352424437
leap_dashboard,csv,retain_contract_temporarily,21,21,241029540
leap_dashboard,xlsx,retain_external,16,16,37465085
leap_dashboard,csv.gz,retain_contract_temporarily,4,4,14967664
leap_dashboard,xlsx,retain_human,9,9,1873522
leap_initialisation,csv,migrate,10,3888,118485647657
leap_initialisation,csv,retain_human,3229,8873,45542286695
leap_initialisation,pkl,migrate,8,116,23711267079
leap_initialisation,csv,retain_contract_temporarily,133,387,2918206892
leap_initialisation,xlsx,retain_human,1162,3536,2013013167
leap_initialisation,csv,retain_external,148,148,510356728
leap_initialisation,csv.gz,retain_contract_temporarily,14,14,485895269
leap_initialisation,xlsx,retain_external,76,76,218985854
leap_initialisation,parquet,migrate,4,4,29317705
leap_mappings,csv,retain_human,643,754,3257044719
leap_mappings,csv,retain_contract_temporarily,142,142,2282549716
leap_mappings,csv.gz,retain_contract_temporarily,20,20,533109569
leap_mappings,csv,retain_external,40,40,516136628
leap_mappings,xlsx,retain_human,150,199,202328687
leap_mappings,xlsx,retain_external,30,30,66881533
leap_review_tools,csv,retain_contract_temporarily,18,18,331434785
leap_review_tools,csv.gz,retain_contract_temporarily,2,2,79863715
leap_review_tools,xlsx,retain_external,4,4,1908164
leap_review_web_app,csv,retain_contract_temporarily,18,18,331478999
leap_review_web_app,csv.gz,retain_contract_temporarily,2,2,80319471
leap_review_web_app,xlsx,retain_external,2,2,945547
