repository,code_path,line_number,operation,direction,evidence
leap_initialisation,.conda/Lib/trace.py,173,read_pickle,read,"counts, calledfuncs, callers = pickle.load(f)"
leap_initialisation,.conda/Lib/trace.py,294,write_pickle,write,"pickle.dump((self.counts, self.calledfuncs, self.callers),"
leap_initialisation,.conda/Lib/tracemalloc.py,431,write_pickle,write,"pickle.dump(self, fp, pickle.HIGHEST_PROTOCOL)"
leap_initialisation,.conda/Lib/tracemalloc.py,439,read_pickle,read,return pickle.load(fp)
leap_initialisation,.conda/Lib/_pydatetime.py,1000,read_pickle,read,"""pickle.load(data, encoding='latin1') is assumed."")"
leap_initialisation,.conda/Lib/_pydatetime.py,1431,read_pickle,read,"""pickle.load(data, encoding='latin1') is assumed."")"
leap_initialisation,.conda/Lib/_pydatetime.py,1767,read_pickle,read,"""pickle.load(data, encoding='latin1') is assumed."")"
leap_initialisation,.conda/Lib/multiprocessing/reduction.py,59,write_pickle,write,'''Replacement for pickle.dump() using ForkingPickler.'''
leap_initialisation,.conda/Lib/multiprocessing/spawn.py,130,read_pickle,read,preparation_data = reduction.pickle.load(from_parent)
leap_initialisation,.conda/Lib/multiprocessing/spawn.py,132,read_pickle,read,self = reduction.pickle.load(from_parent)
leap_initialisation,codebase/aggregated_demand_template_coverage_workflow.py,258,write_csv,write,"missing_cases.to_csv(resolved_output_path, index=False)"
leap_initialisation,codebase/aggregated_demand_workflow.py,649,read_csv,read,"header = pd.read_csv(path, nrows=0)"
leap_initialisation,codebase/aggregated_demand_workflow.py,689,read_csv,read,"header = pd.read_csv(path, nrows=0)"
leap_initialisation,codebase/aggregated_demand_workflow.py,1386,read_excel,read,"raw = pd.read_excel(Path(id_lookup_path), header=2)"
leap_initialisation,codebase/aggregated_demand_workflow.py,1893,write_excel,write,"with pd.ExcelWriter(output_path, engine=""openpyxl"") as writer:"
leap_initialisation,codebase/aggregated_demand_workflow.py,1894,write_excel,write,"leap_df.to_excel(writer, sheet_name=""LEAP"", index=False, header=False)"
leap_initialisation,codebase/aggregated_demand_workflow.py,1895,write_excel,write,"viewing_df.to_excel(writer, sheet_name=""FOR_VIEWING"", index=False, header=False)"
leap_initialisation,codebase/aggregated_demand_workflow.py,1897,write_excel,write,"contributions_df.to_excel(writer, sheet_name=""Contributions"", index=False)"
leap_initialisation,codebase/aggregated_demand_workflow.py,1947,read_excel,read,"raw = pd.read_excel(path, sheet_name=sheet_name, header=None)"
leap_initialisation,codebase/aggregated_demand_workflow.py,2022,write_excel,write,"with pd.ExcelWriter(output_path, engine=""openpyxl"") as writer:"
leap_initialisation,codebase/aggregated_demand_workflow.py,2023,write_excel,write,"leap_df.to_excel(writer, sheet_name=""LEAP"", index=False, header=False)"
leap_initialisation,codebase/aggregated_demand_workflow.py,2024,write_excel,write,"viewing_df.to_excel(writer, sheet_name=""FOR_VIEWING"", index=False, header=False)"
leap_initialisation,codebase/aggregated_demand_workflow.py,2141,write_excel,write,"with pd.ExcelWriter(output_path, engine=""openpyxl"") as writer:"
leap_initialisation,codebase/aggregated_demand_workflow.py,2142,write_excel,write,"full_output.to_excel(writer, sheet_name=""Export"", index=False, header=False)"
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,132,read_excel,read,data = pd.read_excel(
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,757,write_csv,write,"pd.DataFrame(inventory_rows).to_csv(paths.file_inventory_csv, index=False)"
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,758,write_csv,write,"pd.DataFrame(summary_rows).to_csv(paths.summary_csv, index=False)"
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,759,write_csv,write,"pd.concat(row_difference_frames, ignore_index=True).to_csv(paths.row_differences_csv, index=False) if row_difference_frames else pd.DataFrame().to_csv(paths.row_differences_csv, index=False)"
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,760,write_csv,write,"pd.concat(expression_difference_frames, ignore_index=True).to_csv(paths.expression_differences_csv, index=False) if expression_difference_frames else pd.DataFrame().to_csv(paths.expression_differences_csv, index=False)"
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,761,write_csv,write,"pd.DataFrame(duplicate_rows).to_csv(paths.duplicate_keys_csv, index=False)"
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,763,write_csv,write,"pd.concat(nonempty_share_frames, ignore_index=True).to_csv(paths.share_sum_checks_csv, index=False) if nonempty_share_frames else pd.DataFrame().to_csv(paths.share_sum_checks_csv, index=False)"
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,765,write_csv,write,"all_rule_findings.to_csv(paths.rule_findings_csv, index=False)"
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,767,write_csv,write,"pd.DataFrame().to_csv(paths.rule_summary_csv, index=False)"
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,778,write_csv,write,"rule_summary.to_csv(paths.rule_summary_csv, index=False)"
leap_initialisation,codebase/baseline_seed_comparison_workflow.py,779,write_csv,write,"pd.DataFrame(provenance_rows).to_csv(paths.file_provenance_csv, index=False)"
leap_initialisation,codebase/electricity_heat_interim_workflow.py,724,read_excel,read,workbook_df = pd.read_excel(
leap_initialisation,codebase/electricity_heat_interim_workflow.py,827,write_csv,write,"report_df.to_csv(report_path_obj, index=False)"
leap_initialisation,codebase/electricity_heat_interim_workflow.py,1305,read_excel,read,template_df = pd.read_excel(
