"sector","sector_branch_path","fuel","fuel_branch_path"
"Road","Demand\All demand aggregated\Road","Biodiesel","Demand\All demand aggregated\Road\Biodiesel"
"Road","Demand\All demand aggregated\Road","Biogasoline","Demand\All demand aggregated\Road\Biogasoline"
"Road","Demand\All demand aggregated\Road","Efuel","Demand\All demand aggregated\Road\Efuel"
"Road","Demand\All demand aggregated\Road","Electricity","Demand\All demand aggregated\Road\Electricity"
"Road","Demand\All demand aggregated\Road","Gas and diesel oil","Demand\All demand aggregated\Road\Gas and diesel oil"
"Road","Demand\All demand aggregated\Road","Hydrogen","Demand\All demand aggregated\Road\Hydrogen"
"Road","Demand\All demand aggregated\Road","LPG","Demand\All demand aggregated\Road\LPG"
"Road","Demand\All demand aggregated\Road","Motor gasoline","Demand\All demand aggregated\Road\Motor gasoline"
"Road","Demand\All demand aggregated\Road","Natural gas","Demand\All demand aggregated\Road\Natural gas"
"Transport non road","Demand\All demand aggregated\Transport non road","Ammonia","Demand\All demand aggregated\Transport non road\Ammonia"
"Transport non road","Demand\All demand aggregated\Transport non road","Anthracite","Demand\All demand aggregated\Transport non road\Anthracite"
"Transport non road","Demand\All demand aggregated\Transport non road","Aviation gasoline","Demand\All demand aggregated\Transport non road\Aviation gasoline"
"Transport non road","Demand\All demand aggregated\Transport non road","Bio jet kerosene","Demand\All demand aggregated\Transport non road\Bio jet kerosene"
"Transport non road","Demand\All demand aggregated\Transport non road","Biodiesel","Demand\All demand aggregated\Transport non road\Biodiesel"
"Transport non road","Demand\All demand aggregated\Transport non road","Biogasoline","Demand\All demand aggregated\Transport non road\Biogasoline"
"Transport non road","Demand\All demand aggregated\Transport non road","Coal tar","Demand\All demand aggregated\Transport non road\Coal tar"
"Transport non road","Demand\All demand aggregated\Transport non road","Coke oven coke","Demand\All demand aggregated\Transport non road\Coke oven coke"
"Transport non road","Demand\All demand aggregated\Transport non road","Coking coal","Demand\All demand aggregated\Transport non road\Coking coal"
"Transport non road","Demand\All demand aggregated\Transport non road","Crude oil","Demand\All demand aggregated\Transport non road\Crude oil"
"Transport non road","Demand\All demand aggregated\Transport non road","Efuel","Demand\All demand aggregated\Transport non road\Efuel"
"Transport non road","Demand\All demand aggregated\Transport non road","Electricity","Demand\All demand aggregated\Transport non road\Electricity"
"Transport non road","Demand\All demand aggregated\Transport non road","Fuel oil","Demand\All demand aggregated\Transport non road\Fuel oil"
"Transport non road","Demand\All demand aggregated\Transport non road","Gas and diesel oil","Demand\All demand aggregated\Transport non road\Gas and diesel oil"
"Transport non road","Demand\All demand aggregated\Transport non road","Hydrogen","Demand\All demand aggregated\Transport non road\Hydrogen"
